! List of source to calculate kinematic distances
!Contains 1 line per source with 
!Source name   RA(J2000)  Dec(J2000)   Vlsr   kinematic-distance flag 
!(no blanks)   hhmmss.ss  dddmmss.s    km/s   (0=near, 1=far)
!
G202+020     063831.2620  +103814.116   0      0
G202+020     063831.2620  +103814.116   5      0
G202+020     063831.2620  +103814.116   10     0
G202+020     063831.2620  +103814.116   0      1
G202+020     063831.2620  +103814.116   5      1
G202+020     063831.2620  +103814.116   10     1
G202+020     063831.2620  +103814.116   30     0
G202+020     063831.2620  +103814.116   35     0
G202+020     063831.2620  +103814.116   40     0
G202+020     063831.2620  +103814.116   30     1
G202+020     063831.2620  +103814.116   35     1
G202+020     063831.2620  +103814.116   40     1

G23.0-0.4     183440.20   -090037.0    81.0       0
G23.0-0.4     183440.20   -090037.0    81.0       1
G23.4-0.2     183439.29   -083139.3    97.0       0
G23.6-0.1     183451.59   -081821.4    83.0       0
G35.2-0.7     185812.97    014036.2    28.0       0
G35.2-1.7     190145.54    011332.6    42.0       0
W51IRS2       192339.82    143104.7    56.0       0
G59.7+0.1     194311.25    234403.3    27.0       0
CepA          225618.09    620149.4   -10.0       0
NGC7538       231345.36    612810.6   -57.0       0
IRAS00420     004457.60    554718.0   -44.0       0
NGC281        005224.70    563550.5   -31.0       0
W3OH          022703.82    615225.23  -45.0       0
WB89-437      024328.57    625708.4   -72.0       0
S252          060853.35    213828.7    11.0       0
S269          061437.08    134936.7    20.0       0
Orion         053515.80   -052314.1    10.0       0
G232.6-1.0    073209.78   -165812.8    23.0       0
VYCMa         072258.32   -254603.2    18.0       0
