 2, 2, 10				; Two Calculations (Start records =2, 9)
ARNAUD & RAYMOND (1992)        IRON
 6,22,26                                   !# STAGES,IR 22 IS THE FIRST STAGE,26
 15,6.7,   4.37 2.67 1.46 0.80 0.64 0.88 1.35 1.86 2.38 2.88 3.38 3.90 4.44 5.01 5.60
 19,6.7    5.92 3.74 2.13 1.13 0.67 0.65 0.87 1.17 1.49 1.81 2.14 2.50 2.88 3.31 3.76 4.23 4.70 5.17 5.64
 23,6.8    5.06 3.05 1.69 0.92 0.63 0.61 0.69 0.80 0.93 1.09 1.28 1.51 1.79 2.10 2.44 2.78 3.13 3.47 3.81 4.14 4.46 4.77 5.07
 22,6.9    3.84 2.10 1.02 0.49 0.25 0.15 0.11 0.11 0.14 0.21 0.32 0.48 0.67 0.88 1.11 1.35 1.58 1.81 2.03 2.24 2.45 2.65
 20,7.1    4.92 3.54 2.62 1.96 1.46 1.06 0.76 0.54 0.41 0.34 0.34 0.38 0.44 0.53 0.63 0.73 0.83 0.94 1.04 1.14
 18,7.3    5.60 4.35 3.35 2.55 1.90 1.39 1.01 0.71 0.50 0.35 0.25 0.18 0.13 0.10 0.07 0.06 0.04 0.03 
ARNAUD / ARNAUD  1.00 1.00     IRON                     
 6,22,26                                   !# STAGES,IR 22 IS THE FIRST STAGE,26=Z
 11,6.9,   1.0819  0.7094  0.8686  1.3376  1.8827  2.4108  2.9148  3.3931  3.8671
           4.343  4.838
 11,6.9,   1.4873  0.7594  0.6129  0.8155  1.1255  1.4443  1.7604  2.0705  2.3902
           2.727  3.095
 11,6.9,   2.1035  1.0135  0.5564  0.4891  0.5580  0.6678  0.7900  0.9265  1.0869
           1.277  1.509
 11,6.9,   2.8973  1.4326  0.6639  0.3408  0.2009  0.1344  0.1053  0.1041  0.1338
           0.201  0.312
 11,6.9,   9.0971  6.3718  4.5731  3.4098  2.5869  1.9618  1.4688  1.0819  0.7811
           0.566  0.432
 10,7.0,  11.9971  9.1246  7.0809  5.5357  4.3156  3.3264  2.5232  1.8682
           1.352  0.954
