 2, 2, 31				; Two Calculations (Start records =2, 9)
ARNAUD & RAYMOND (1992)        IRON
 27,0,26                                ;# STAGES, Fe +0 is the 1st stage, 26=Z
  7,4.0    0.91 1.44 1.97 2.88 3.93 4.70 5.38
 12,4.0    0.06 0.02 0.09 0.59 1.29 1.74 2.14 2.68 3.24 3.87 4.26 5.49
 15,4.0    4.01 2.16 0.77 0.13 0.02 0.02 0.16 0.50 0.89 1.36 1.96 2.70 3.53 4.43 5.46
 14,4.3    5.07 3.05 1.52 0.52 0.17 0.13 0.28 0.60 1.09 1.69 2.37 3.19 4.18 5.31
 13,4.6    3.81 1.97 0.91 0.38 0.23 0.32 0.57 0.96 1.52 2.27 3.18 4.19 5.21
 13,4.8    3.65 1.85 0.84 0.38 0.21 0.25 0.50 0.98 1.66 2.44 3.27 4.13 5.15
 14,4.9    5.11 3.06 1.82 1.03 0.55 0.35 0.44 0.77 1.24 1.78 2.39 3.17 4.29 5.80
 13,5.1    4.12 2.49 1.43 0.73 0.40 0.36 0.51 0.77 1.12 1.68 2.56 3.87 5.59
 13,5.2    4.95 3.07 1.77 0.92 0.44 0.21 0.15 0.22 0.51 1.19 2.27 3.79 5.72
 11,5.4    5.94 4.02 2.66 1.72 1.05 0.62 0.49 0.81 1.58 2.81 4.50
 10,5.6    5.21 3.48 2.17 1.21 0.64 0.57 1.01 1.96 3.39 4.91
 10,5.7    5.57 3.59 2.06 1.01 0.53 0.61 1.25 2.41 3.68 4.92
 11,5.8    5.35 3.22 1.66 0.75 0.45 0.75 1.61 2.62 3.61 4.58 5.60
 11,5.9    5.10 2.93 1.50 0.75 0.66 1.17 1.88 2.59 3.31 4.10 5.10
 12,6.0    4.44 2.42 1.16 0.62 0.74 1.11 1.52 1.97 2.52 3.31 4.41 5.84
 12,6.1    3.63 1.82 0.83 0.57 0.62 0.76 0.98 1.32 1.91 2.83 4.09 5.65 
 13,6.1    4.28 2.10 0.83 0.35 0.20 0.16 0.20 0.37 0.80 1.56 2.66 4.07 5.60
 13,6.2    5.34 3.28 2.17 1.51 1.05 0.73 0.58 0.73 1.24 2.11 3.30 4.63 5.95
 12,6.4    4.20 2.95 2.00 1.28 0.79 0.63 0.88 1.52 2.49 3.62 4.74 5.82
 12,6.5    4.63 3.13 1.95 1.08 0.59 0.56 0.94 1.67 2.59 3.52 4.41 5.28
 13,6.6	   4.73 3.07 1.79 0.96 0.61 0.73 1.22 1.91 2.64 3.34 4.02 4.70 5.37
 15,6.7,   4.37 2.67 1.46 0.80 0.64 0.88 1.35 1.86 2.38 2.88 3.38 3.90 4.44 5.01 5.60
 19,6.7    5.92 3.74 2.13 1.13 0.67 0.65 0.87 1.17 1.49 1.81 2.14 2.50 2.88 3.31 3.76 4.23 4.70 5.17 5.64
