; File susec6.dat: Atomic data for S XV lines and S XIV satellites 
;                 for Yohkoh BCS Channel 4
;
;
;   The Z2F OMEGAS are used to obtain a better interpolation over temperature,
;     rather than interpolating over the broader range of electron excitation 
;     rate coefficients. It is not related to the atomic physics omega!
;
;   Derived using the following formula:
;    
;     z2fomega = C (Z-0.5)^2 SQRT(T) exp(1.1842e5 x (Z-0.5)^2 /T ) /8.62e(-6)
;
;   where C is the excitation rate and T is the electron temperature.
;
; History: 
;  11-FEB-91  Original version of file with Safronova (1981) values for S XV 
;         wavelengths.
;	S XIV n=2 sats wvls from Vainshtein and Safronova (1978) (VS78), n>2 
;         sats wavelengths from Cornille and Dubau (CD, p.c.1990). 
;	T-averaged Omega (Gamma) values from extrapolations by KJHP of Z-scaled
;         values for Ca and Fe, using Bely-Dubau et al. (Papers VI and VII). 
;	F2(s) values from CD
;	Unknown radiative recombination excitation rates are set to zero.
;  28-JUL-92 Modified, KJHP
;	Contains Vainshtein and Safronova (1985) (VS85) wvls for S XV lines
;	VS78 SXIV wvls are increased by 0.001 A and CD  SXIV wvls decreased
;       by 0.001 A to get agreement with VS85 values of S XV w line wvl. 
;   7-OCT-92 Modified, KJHP
;	Documentation added according to recommendns. of mtg of Oct. 1, 1992
;  14-OCT-92 Modified, JRL   Added 3 Numbers: Number of collisional lines
;					      Number of rad. recombination lines
;					      Number of branching ratios
;   6-oct-93 Modified, JRL   Added Version Title
;  10-dec-93, Louise Harra, Deleted lowest 2 Temperatures for w,x,y,z,q,r,s,t,u,v
;                           New interpolation for Z^2*Gamma for line z (may not
;                           be very accurate).
;  11-mar-94, JRL  (susec5) Replaced the Z2F*Omega values with unpublished
;                  QUB R-matrix results provided by Louise Harra for w,x,y,z.
;                  Extrapolated to 0.63 MK for q,r,s,t,u,v
;                  Added QUB rmatrix density ratios for x/w, y/w, z/w.
;  23-mar-94, JRL  (susec5.dat) Changed the offset of the n=3 satellites to achieve 
;                  agreement (by eye) with the data.
;  11-Nov-94, LKH-M New values of SXIV n>= 4 satellite lines calculated from the 
;                   Cowan code - Nov 94 (by KJHP). Cowan wavelengths increased by
;                   0.0033 A to align high-n satellites with the VS85 S XV w line
;                   wavelength.
;  11-Jan-95, LKH-M (susec6.dat) Replaced the values of the z2fomegas for q,r,s and t.
;             KJHP used collision strengths of Argon from Sampson and Clark (1979)
;             and scaled them to values for Z=16. Val Foster and Robin Reid (QUB)
;             used the RATE code to convert the collision strength for q,r,s and t
;             to excitation rates. The excitation rates were converted to z2fomega 
;             values (eqn given above). The lowest value (0.63 MK) was not reliable
;             and an extrapolated value was used instead.
;                                      
;  17-Jan-95, LKH-M (susec6.dat) Added SXIV n=6 satellite lines calculated from the 
;             Cowan code by KJHP (Jan 95). An offset of 0.0033A was used as with the 
;             lower n satellites.
;
;  1-May-95, LKH-M (susec6.dat) Changed the wavelength offset of n=3 satellites from
;            -0.001 A as originally given for n=3 satellites to that estimated
;            by JRL for the d13/d15
; 
; References: 
;	Bely-Dubau et al. (Paper VI) 1982, MNRAS, 198,239
;	Bely-Dubau et al. (Paper VII) 1982, MNRAS, 201, 1155
;	Cornille and Dubau 1990 (CD), private comm. to G. Doschek
;	Vainshtein and Safronova 1978 (VS78), ADNDT, 21, 49
;	Vainshtein and Safronova 1985 (VS85), Phys Scr, 31, 519
;       Sampson, DH and Clark, REH, 1979, J. Phys B, 12 no 19, 3257.
;
Cornille & Dubau/Wave = V&S			; Version
 16, 2 ; nuclear charge and number of electrons (2=He-like)
 10, 4, 6 ; # Coll excited lines, # of RR lines, # branch ratios
; WAVELENGTHS W,X,Y,Z,Q,R,S,T,U,V   (q-v = VS78 + 0.001 A)
 5.03890,5.06329,5.06666,5.10168,5.0855,5.0875,5.0658,5.0666,5.1323,5.1334
 0.998,.84,.09,.20,.87,.964 			;BRANCHING RATIOS
13,              ; NUMBER OF TEMPERATURES
0.63,1.90,3.16,4.21,5.26,6.32,7.37,8.42,9.48,12.64,15.80,18.95,25.27 ;TEMPS (MK)
 1.416,1.540,1.663,1.761,1.856,1.951,2.047,2.143,2.242,2.530,2.800,3.036,3.429 ;w Z2F OMEGA
 0.260,0.253,0.246,0.238,0.228,0.217,0.208,0.202,0.196,0.183,0.173,0.166,0.158 ;x
 0.549,0.508,0.473,0.453,0.442,0.435,0.428,0.422,0.416,0.406,0.404,0.406,0.423 ;y
 1.365,1.256,1.168,1.121,1.100,1.092,1.086,1.080,1.077,1.086,1.119,1.166,1.299 ;z
 1.171,1.23,1.255,1.312,1.353,1.381,1.436,1.478,1.52,1.66,1.782,1.898,2.126    ;q
 0.449,0.525,0.532,0.554,0.569,0.579,0.602,0.618,0.633,0.688,0.736,0.781,0.872 ;r
 0.302,0.295,0.286,0.282,0.277,0.272,0.268,0.265,0.262,0.255,0.249,0.245,0.241 ;s
 0.231,0.237,0.239,0.242,0.246,0.248,0.253,0.256,0.258,0.271,0.281,0.291,0.313 ;t
 0.173,0.190,0.200,0.197,0.189,0.180,0.175,0.173,0.170,0.150,0.140,0.130,0.110 ;u
 0.099,0.100,0.100,0.098,0.095,0.092,0.089,0.087,0.085,0.080,0.075,0.070,0.063 ;v
 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000 ;w  rad recomb
 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000 ;x  rad recomb
 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000 ;y  rad recomb
 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000 ;z  rad recomb
 1748.,        N=2 SATELLITE ENERGIES IN E.V                  
;
; The numbers at the last column are used when the wavelength range is
; separated in different regions. It is clearer from the other sec files
; ie t and s are in the same 'wavelength region' and so have the same tag
; 5. This is used when a shift is introduced to overlay the synthetic spectra
;
; New values of SXIV satellites lines calculated from the Cowan code - Nov 94
; Shift of 0.0033A introduced to align the satellite data with V&S. The numbers
; in the last column were all set to 1. The data is arranged by the spectator
; electron. Eg, 1s^2 nl - 1s2pnl - the spectator electron is 'nl'. These are only
; included for n>= 4.
;
; 2s
offset=+0.0010
2       5.0865        3.87e13            7 r
2       5.0845        4.85e13            6 q
2       5.0656        1.66e13            5 t
2       5.0648        1.28e13            5 s
; 2p
offset=+0.0010
2       5.1283        1.13e12           10 e
2       5.0974        1.12e14            8 k
2       5.1014        8.62e11            9 l
2       5.1016        1.60e14            9 j
2       5.0871        2.58e12            6 b
2       5.0910        2.60e13            7 a
2       5.0573        7.00e12            2 n
2       5.0612        2.50e13            3 m
offset=+0.0028				    ; LKH-M 1-May-95
;offset=-0.0010				    ; LKH-M 1-May-95 Commented out
3       5.0663        1.52e12            1  ;All values '1' are
3       5.0892        1.11e12            1  ;dummy, inserted
3       5.0589        1.70e13            1  ;only to comply
3       5.0552        1.99e13            1  ;with the RDFAC.
3       5.0780        5.50e11            1
offset=+0.0028                              ; JRL 23-mar-94 Shift n=3 lines
3       5.0443        1.45e13            1  ;- near resonance line
3       5.0437        1.18e13            1
;offset=-0.0010                             ; JRL 23-mar-94 ; LKH-M 1-May-95 Commented out
3       5.0670        7.69e11            1
3       5.0660        5.36e11            1
3       5.0650        3.01e12            1
3       5.0654        5.81e11            1
3       5.0618        4.44e12            1
3       5.0416        6.39e11            1
3       5.0420        3.10e12            1
3       5.0394        1.305e14           1
3       5.0380        7.85e13            1
3       5.0385        1.69e13            1
3       5.0324        7.33e11            1
;offset=-0.0010					; LKH-M 1-May-95 Commented out
       3   5.0978        8.74e12            1
       3   5.0818        6.53e11            1
       3   5.0723        7.44e11            1
       3   5.0660        1.29e13            1
       3   5.0675        5.29e12            1
       3   5.0660        3.424e12           1
       3   5.0644        5.857e12           1
       3   5.0636        8.91e12            1
       3   5.0556        2.80e12            1
offset=+0.0028                                  ; JRL 23-mar-94 Shift n=3 lines
						; - near resonance line
       3   5.0454        9.53e13            1   ; d15
       3   5.0466        1.45e14            1   ; d13
       3   5.0451        2.58e13            1
;offset=-0.0010                                 ; JRL 23-mar-94; LKH-M 1-May-95 Commented out
       3   5.0348        5.96e12            1
       3   5.0363        2.02e13            1
; Cowan Results by KJHP (Nov 94) for rest of file 
; offset derived from n=10 satellites in the Cowan run 
; which converge on the w line.
offset=+0.0033
; 4s
4	5.070700	1.240000E+11	1
4	5.069300	7.670000E+11	1
4	5.065900	3.160000E+11	1
4	5.062500	8.110000E+11	1
4	5.039600	5.720000E+11	1
4	5.039400	2.040000E+11	1
; 4p
4	5.073300	3.680000E+09	1
4	5.072900	1.530000E+10	1
4	5.072400	3.840000E+10	1
4	5.071900	3.630000E+11	1
4	5.071000	1.100000E+12	1
4	5.070600	5.400000E+11	1
4	5.070100	3.550000E+11	1
4	5.069600	1.780000E+09	1
4	5.069100	1.570000E+10	1
4	5.068800	8.130000E+09	1
4	5.068300	6.510000E+10	1
4	5.067900	1.160000E+07	1
4	5.067400	1.470000E+12	1
4	5.066500	1.840000E+09	1
4	5.066100	1.810000E+11	1
4	5.066000	4.560000E+07	1
4	5.065100	3.150000E+12	1
4	5.064600	4.670000E+11	1
4	5.062700	3.680000E+11	1
4	5.060400	1.870000E+12	1
4	5.060000	1.030000E+09	1
4	5.041200	2.920000E+12	1
4	5.041000	5.240000E+13	1
4	5.040700	3.790000E+13	1
4	5.040700	1.260000E+10	1
4	5.040200	4.790000E+10	1
4	5.040100	1.930000E+12	1
4	5.039600	1.480000E+11	1
4	5.038700	9.930000E+12	1
4	5.038200	2.640000E+12	1
; 4d
4	5.070500	1.490000E+06	1
4	5.070300	2.430000E+08	1
4	5.069600	2.400000E+10	1
4	5.069400	1.480000E+11	1
4	5.068300	4.450000E+11	1
4	5.068100	1.560000E+10	1
4	5.068000	5.700000E+10	1
4	5.067800	6.880000E+09	1
4	5.067700	1.250000E+09	1
4	5.066600	8.400000E+06	1
4	5.066400	4.960000E+08	1
4	5.066400	2.720000E+09	1
4	5.066000	8.050000E+10	1
4	5.065900	9.220000E+10	1
4	5.064000	6.720000E+10	1
4	5.063600	2.560000E+11	1
4	5.063400	3.260000E+11	1
4	5.063100	8.800000E+06	1
4	5.063100	1.850000E+11	1
4	5.063000	2.140000E+07	1
4	5.062900	5.010000E+11	1
4	5.062800	3.790000E+06	1
4	5.061400	1.140000E+10	1
4	5.061200	9.930000E+08	1
4	5.060900	2.440000E+12	1
4	5.059800	2.820000E+09	1
4	5.038900	1.660000E+08	1
4	5.038700	1.950000E+09	1
4	5.038700	2.110000E+12	1
4	5.038500	7.690000E+11	1
4	5.038500	4.860000E+13	1
4	5.038100	9.470000E+12	1
4	5.038000	2.580000E+13	1
4	5.036500	7.050000E+11	1
4	5.036300	1.290000E+12	1
4	5.036200	1.110000E+11	1
; 4f
4	5.067100	2.390000E+08	1
4	5.067100	1.140000E+09	1
4	5.067000	5.470000E+09	1
4	5.066900	7.000000E+07	1
4	5.066100	4.750000E+08	1
4	5.066000	3.640000E+07	1
4	5.066000	4.740000E+08	1
4	5.065900	2.220000E+04	1
4	5.065800	4.140000E+09	1
4	5.065700	5.190000E+10	1
4	5.065000	2.570000E+08	1
4	5.064900	3.260000E+09	1
4	5.064800	1.350000E+10	1
4	5.064700	2.280000E+07	1
4	5.062400	6.110000E+09	1
4	5.062400	1.720000E+09	1
4	5.062300	3.640000E+09	1
4	5.062100	1.300000E+09	1
4	5.062000	6.050000E+08	1
4	5.062000	3.100000E+09	1
4	5.062000	4.600000E+09	1
4	5.061300	4.930000E+09	1
4	5.061300	1.570000E+09	1
4	5.061300	1.820000E+10	1
4	5.061300	1.360000E+07	1
4	5.060600	3.690000E+07	1
4	5.037800	2.320000E+06	1
4	5.037800	6.320000E+08	1
4	5.037800	5.120000E+07	1
4	5.037700	2.880000E+07	1
4	5.036300	1.450000E+11	1
4	5.036300	4.120000E+12	1
4	5.036200	3.210000E+12	1
4	5.035500	2.700000E+09	1
4	5.035500	3.070000E+09	1
4	5.035400	1.390000E+08	1
; 5s
5	5.068100	9.820000E+10	1
5	5.066700	7.200000E+11	1
5	5.065200	5.090000E+11	1
5	5.061700	2.420000E+11	1
5	5.037600	3.460000E+11	1
5	5.037500	1.870000E+11	1
; 5p
5	5.069300	8.310000E+09	1
5	5.069100	3.730000E+10	1
5	5.068600	1.380000E+08	1
5	5.068400	3.310000E+11	1
5	5.067600	2.420000E+11	1
5	5.067400	1.400000E+12	1
5	5.067400	3.650000E+11	1
5	5.066900	9.280000E+09	1
5	5.066600	1.470000E+10	1
5	5.066400	9.460000E+10	1
5	5.066200	9.490000E+10	1
5	5.065800	7.970000E+11	1
5	5.065500	7.570000E+11	1
5	5.063700	2.350000E+10	1
5	5.063600	6.910000E+10	1
5	5.063500	1.370000E+09	1
5	5.063200	8.460000E+11	1
5	5.063000	1.930000E+09	1
5	5.061900	1.010000E+10	1
5	5.061000	4.580000E+11	1
5	5.060700	3.680000E+10	1
5	5.038400	1.210000E+12	1
5	5.038200	2.620000E+13	1
5	5.038200	4.610000E+09	1
5	5.038100	1.930000E+13	1
5	5.037900	1.580000E+10	1
5	5.037900	1.110000E+12	1
5	5.037700	6.910000E+10	1
5	5.037200	4.690000E+12	1
5	5.036900	1.370000E+12	1
; 5d
5	5.067900	2.330000E+05	1
5	5.067800	1.120000E+08	1
5	5.067300	4.920000E+09	1
5	5.067200	1.320000E+11	1
5	5.066400	5.490000E+09	1
5	5.066300	2.750000E+10	1
5	5.066100	5.220000E+11	1
5	5.065900	5.050000E+09	1
5	5.065800	4.040000E+08	1
5	5.065500	4.790000E+04	1
5	5.065400	1.120000E+06	1
5	5.065300	1.800000E+09	1
5	5.065000	3.450000E+11	1
5	5.064900	2.130000E+11	1
5	5.062500	2.570000E+10	1
5	5.062500	2.210000E+11	1
5	5.062400	1.800000E+11	1
5	5.062100	3.980000E+10	1
5	5.062000	1.190000E+07	1
5	5.062000	1.100000E+11	1
5	5.062000	1.630000E+07	1
